,(0  1  2),(0  1  3),(0  1  4),(0  1  5),(0  1  6),(0  2  4),(0  2  5),(0  2  6),(0  2  7),(0  3  6),(0  3  7),(0  4  8),(0  1  2  3),(0  1  2  4),(0  1  2  5),(0  1  2  6),(0  1  2  7),(0  1  3  4),(0  1  3  5),(0  1  3  6),(0  1  3  7),(0  1  4  5),(0  1  4  6),(0  1  4  7),(0  1  4  8),(0  1  5  6),(0  1  5  7),(0  1  5  8),(0  1  6  7),(0  2  3  5),(0  2  3  6),(0  2  3  7),(0  2  4  6),(0  2  4  7),(0  2  4  8),(0  2  5  7),(0  2  5  8),(0  2  6  8),(0  3  4  7),(0  3  5  8),(0  3  6  9),(0  1  2  3  4),(0  1  2  3  5),(0  1  2  3  6),(0  1  2  3  7),(0  1  2  4  5),(0  1  2  4  6),(0  1  2  4  7),(0  1  2  4  8),(0  1  2  5  6),(0  1  2  5  7),(0  1  2  5  8),(0  1  2  6  7),(0  1  2  6  8),(0  1  3  4  6),(0  1  3  4  7),(0  1  3  4  8),(0  1  3  5  6),(0  1  3  5  7),(0  1  3  5  8),(0  1  3  6  7),(0  1  3  6  8),(0  1  3  6  9),(0  1  3  7  8),(0  1  4  5  7),(0  1  4  5  8),(0  1  4  6  8),(0  1  4  6  9),(0  1  4  7  8),(0  2  3  4  6),(0  2  3  4  7),(0  2  3  5  7),(0  2  3  5  8),(0  2  3  6  8),(0  2  4  5  8),(0  2  4  6  8),(0  2  4  6  9),(0  2  4  7  9),(0  3  4  5  8),(0  1  2  3  4  5),(0  1  2  3  4  6),(0  1  2  3  4  7),(0  1  2  3  4  8),(0  1  2  3  5  6),(0  1  2  3  5  7),(0  1  2  3  5  8),(0  1  2  3  6  7),(0  1  2  3  6  8),(0  1  2  3  6  9),(0  1  2  3  7  8),(0  1  2  4  5  6),(0  1  2  4  5  7),(0  1  2  4  5  8),(0  1  2  4  6  7),(0  1  2  4  6  8),(0  1  2  4  6  9),(0  1  2  4  7  8),(0  1  2  4  7  9),(0  1  2  5  6  7),(0  1  2  5  6  8),(0  1  2  5  6  9),(0  1  2  5  7  8),(0  1  2  5  7  9),(0  1  2  6  7  8),(0  1  3  4  5  7),(0  1  3  4  5  8),(0  1  3  4  6  7),(0  1  3  4  6  8),(0  1  3  4  6  9),(0  1  3  4  7  8),(0  1  3  4  7  9),(0  1  3  5  6  8),(0  1  3  5  6  9),(0  1  3  5  7  8),(0  1  3  5  7  9),(0  1  3  5  8  9),(0  1  3  6  7  9),(0  1  3  6  8  9),(0  1  4  5  6  8),(0  1  4  5  8  9),(0  1  4  6  7  9),(0  2  3  4  5  7),(0  2  3  4  5  8),(0  2  3  4  6  8),(0  2  3  4  6  9),(0  2  3  5  6  8),(0  2  3  5  7  9),(0  2  4  5  7  9),(0  2  4  6  8  10),(0  1  2  3  4  5  6),(0  1  2  3  4  5  7),(0  1  2  3  4  5  8),(0  1  2  3  4  6  7),(0  1  2  3  4  6  8),(0  1  2  3  4  6  9),(0  1  2  3  4  7  8),(0  1  2  3  4  7  9),(0  1  2  3  5  6  7),(0  1  2  3  5  6  8),(0  1  2  3  5  6  9),(0  1  2  3  5  7  8),(0  1  2  3  5  7  9),(0  1  2  3  5  8  9),(0  1  2  3  6  7  8),(0  1  2  3  6  7  9),(0  1  2  4  5  6  8),(0  1  2  4  5  6  9),(0  1  2  4  5  7  8),(0  1  2  4  5  7  9),(0  1  2  4  5  8  9),(0  1  2  4  6  7  8),(0  1  2  4  6  7  9),(0  1  2  4  6  8  9),(0  1  2  4  6  8  10),(0  1  2  4  7  8  9),(0  1  2  5  6  8  9),(0  1  3  4  5  6  8),(0  1  3  4  5  7  8),(0  1  3  4  5  7  9),(0  1  3  4  6  7  9),(0  1  3  4  6  8  9),(0  1  3  4  6  8  10),(0  1  3  5  6  7  9),(0  1  3  5  6  8  10),(0  2  3  4  5  6  8),(0  2  3  4  5  7  9),(0  2  3  4  6  7  9),(0  1  2  3  4  5  6  7),(0  1  2  3  4  5  6  8),(0  1  2  3  4  5  6  9),(0  1  2  3  4  5  7  8),(0  1  2  3  4  5  7  9),(0  1  2  3  4  5  8  9),(0  1  2  3  4  6  7  8),(0  1  2  3  4  6  7  9),(0  1  2  3  4  6  8  9),(0  1  2  3  4  6  8  10),(0  1  2  3  4  7  8  9),(0  1  2  3  5  6  7  8),(0  1  2  3  5  6  7  9),(0  1  2  3  5  6  8  9),(0  1  2  3  5  6  8  10),(0  1  2  3  5  7  8  9),(0  1  2  3  5  7  8  10),(0  1  2  3  6  7  8  9),(0  1  2  4  5  6  7  9),(0  1  2  4  5  6  8  9),(0  1  2  4  5  6  8  10),(0  1  2  4  5  7  8  9),(0  1  2  4  5  7  8  10),(0  1  2  4  5  7  9  10),(0  1  2  4  6  7  8  10),(0  1  3  4  5  6  7  9),(0  1  3  4  5  6  8  9),(0  1  3  4  6  7  9  10),(0  2  3  4  5  6  7  9),(0  1  2  3  4  5  6  7  8),(0  1  2  3  4  5  6  7  9),(0  1  2  3  4  5  6  8  9),(0  1  2  3  4  5  6  8  10),(0  1  2  3  4  5  7  8  9),(0  1  2  3  4  5  7  8  10),(0  1  2  3  4  6  7  8  9),(0  1  2  3  4  6  7  8  10),(0  1  2  3  4  6  7  9  10),(0  1  2  3  5  6  7  8  10),(0  1  2  3  5  6  7  9  10),(0  1  2  4  5  6  8  9  10),(0  1  2  3  4  5  6  7  8  9),(0  1  2  3  4  5  6  7  8  10),(0  1  2  3  4  5  6  7  9  10),(0  1  2  3  4  5  6  8  9  10),(0  1  2  3  4  5  7  8  9  10),(0  1  2  3  4  6  7  8  9  10),(0  1  2  3  4  5  6  7  8  9  10),(0  1  2  3  4  5  6  7  8  9  10  11)
6/vi,55.43,0.69,20.09,1.85,0.92,0.69,0.23,0.23,0.23,0.23,0.69,0.00,0.23,2.31,2.08,0.00,0.00,0.23,0.00,0.00,0.23,0.92,0.23,0.00,0.23,0.23,0.00,0.00,0.00,0.00,0.46,0.23,0.00,0.23,0.00,0.00,0.00,0.00,0.23,0.23,0.00,0.69,0.00,0.00,0.00,0.46,0.00,0.00,0.00,0.23,0.00,0.00,0.00,0.00,0.23,0.00,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.00,0.23,0.00,0.23,0.23,0.00,0.00,0.23,0.00,0.00,0.00,0.00,3.46,0.00,0.23,0.00,0.00,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.23,1.85,0.00,0.00,0.00,0.00,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.00,0.23,0.00,0.00,0.00,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7/i,37.10,11.29,6.45,3.23,0.00,9.68,8.06,0.00,0.00,0.00,1.61,0.00,0.00,6.45,1.61,0.00,0.00,0.00,3.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.84,1.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7/ii,2.12,3.44,2.69,1.15,2.80,0.79,0.55,0.93,0.37,0.92,0.77,0.07,1.59,1.94,0.84,0.53,0.55,0.48,0.29,0.37,1.10,2.80,1.08,0.75,0.40,0.33,0.22,0.16,0.35,0.15,0.84,0.40,0.05,0.26,0.07,0.04,0.26,0.05,0.62,0.09,0.33,0.27,0.49,0.81,0.37,1.41,0.18,1.32,0.70,0.88,0.53,0.15,0.51,0.13,0.33,0.51,0.15,0.13,0.16,0.18,0.59,0.05,0.13,0.29,0.15,0.73,0.37,0.46,0.37,0.00,0.31,0.09,0.05,0.62,0.48,0.02,0.00,0.02,0.11,0.26,0.09,0.84,0.13,0.79,0.05,0.07,0.05,0.15,0.02,0.00,0.48,0.35,0.18,1.19,0.13,0.00,0.75,0.24,0.07,0.35,0.77,0.05,0.31,0.26,0.09,0.15,0.00,0.15,0.18,0.71,0.99,0.05,0.00,0.02,0.55,0.46,0.00,0.00,0.73,0.02,0.26,0.00,0.24,0.24,0.04,0.00,0.04,0.00,0.00,0.04,0.15,0.33,0.40,0.15,0.42,0.51,1.43,0.00,0.16,0.00,0.11,1.24,0.53,0.16,0.00,0.48,0.00,0.00,0.60,0.95,0.38,0.07,0.22,0.57,0.38,1.87,0.00,0.04,0.55,0.24,0.00,0.00,0.62,0.00,0.02,0.00,0.13,0.00,0.11,0.00,0.15,0.84,0.26,0.38,0.35,0.42,0.20,0.93,0.09,0.26,0.13,0.05,0.59,0.00,0.00,0.18,0.37,0.24,0.60,0.09,0.07,1.59,0.82,0.00,0.00,0.09,0.31,1.03,0.70,0.49,0.90,0.68,0.46,0.93,0.00,0.07,0.22,0.00,1.72,2.29,0.31,0.46,0.33,0.00,5.93,1.52
7/iii,0.99,0.99,1.98,4.95,10.89,0.00,2.97,0.99,1.98,0.00,3.96,0.00,0.99,0.00,0.99,0.99,0.00,0.00,0.00,0.00,2.97,0.00,3.96,0.00,0.99,3.96,0.99,0.00,3.96,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,2.97,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.94,0.99,0.00,0.99,0.00,0.00,0.00,1.98,0.99,0.00,0.00,0.00,2.97,0.00,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.99,0.00,0.00,0.00,0.00,1.98,0.00,0.00,0.99,0.99,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.95,0.00,0.99,0.00,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.99,0.00,0.00,0.99,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7/iv,3.69,4.10,3.89,5.94,4.51,0.82,1.64,1.02,0.20,0.41,1.64,0.61,0.20,1.23,5.53,2.05,1.02,0.61,1.43,0.41,1.43,0.82,0.41,0.61,1.23,3.89,0.20,0.61,0.20,0.20,0.41,0.61,0.20,0.00,0.00,0.00,0.41,0.00,1.23,0.00,0.00,0.00,0.41,1.02,0.61,0.61,0.00,0.61,0.00,7.58,0.00,0.20,0.41,0.00,0.00,1.23,0.41,0.00,0.00,0.00,0.00,0.00,0.00,1.64,0.00,1.84,0.00,0.41,1.02,0.20,1.84,0.20,0.20,0.00,0.82,0.00,0.00,0.00,0.41,0.20,0.00,0.00,0.00,2.46,0.00,0.61,0.41,0.00,0.00,0.20,0.20,0.00,0.61,0.00,0.00,0.00,0.00,0.00,1.02,0.00,2.05,0.00,0.00,0.00,0.20,0.41,0.20,0.00,0.00,1.23,0.00,0.00,0.00,0.00,0.00,0.82,0.00,0.00,5.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.82,0.00,0.00,0.00,0.20,0.00,4.51,0.00,0.00,0.00,0.00,0.61,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.41,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.41,0.00,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8/i,4.45,3.30,2.58,1.72,2.44,1.58,0.86,1.72,0.00,0.57,0.14,0.29,1.87,3.30,1.15,2.15,0.72,0.29,0.86,0.86,0.43,0.29,0.43,0.29,0.14,0.86,0.00,0.00,0.57,0.57,0.29,0.00,1.00,0.14,0.29,0.00,0.00,0.29,0.14,0.00,0.00,0.57,5.45,1.58,1.29,0.29,0.72,0.14,0.86,0.57,0.00,0.00,2.44,0.57,1.15,0.29,0.00,0.14,0.14,0.00,0.57,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.43,0.43,0.00,0.29,0.00,0.29,0.14,0.00,0.00,0.29,0.14,1.58,0.72,0.43,0.14,0.57,0.29,0.43,0.14,0.00,0.72,0.29,0.00,0.00,0.29,0.72,0.00,0.72,0.00,1.15,0.00,0.00,0.00,0.00,1.43,0.00,0.29,0.57,0.29,0.43,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.29,0.00,4.30,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.29,0.14,0.43,1.72,0.72,0.72,1.00,0.00,0.14,0.00,0.00,1.00,1.58,0.00,0.00,0.00,1.15,0.00,0.00,1.58,0.00,0.00,0.00,0.00,0.00,0.57,0.00,0.00,0.00,0.29,0.00,0.14,0.00,2.44,0.29,0.00,0.00,0.57,0.00,0.29,0.29,0.43,0.72,0.00,1.15,0.00,1.15,0.43,0.14,0.72,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.57,0.72,0.00,0.00,0.00,0.14,0.00,0.29,0.43,1.00,0.00,0.86,1.00,0.29,0.00,0.00,0.00,0.43,0.14,0.00,0.43,0.00,0.29,0.00,0.00
8/ii,3.88,3.00,3.35,3.00,3.17,0.53,0.00,2.12,0.53,0.71,0.71,0.00,3.17,0.88,2.47,1.59,1.23,0.00,0.35,0.88,1.06,1.06,0.35,0.71,0.18,1.94,0.18,0.35,0.18,0.00,2.65,0.53,0.35,0.00,0.00,0.00,0.35,0.18,0.00,0.00,0.00,1.23,0.53,6.00,1.41,0.53,0.35,0.18,1.06,1.23,0.71,0.00,1.76,0.00,0.00,0.18,0.00,0.71,0.00,0.00,0.71,0.00,0.00,1.23,0.88,0.35,0.00,0.00,0.00,0.53,0.35,0.00,0.00,0.53,0.00,0.00,0.00,0.00,0.00,0.71,1.23,1.59,0.35,0.88,0.53,0.00,2.47,3.00,0.00,0.18,1.94,0.00,0.00,0.53,0.00,0.00,0.35,0.00,0.35,0.00,0.00,0.00,0.00,0.71,0.35,0.18,0.18,0.00,0.00,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.00,0.35,0.00,0.00,0.00,0.18,0.35,0.00,0.18,0.00,0.00,0.00,0.53,1.06,0.35,0.88,0.00,0.00,3.00,1.41,1.41,0.00,0.18,0.00,0.00,0.18,1.23,0.71,0.00,0.00,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.00,0.53,0.18,0.00,0.88,0.00,0.00,0.71,0.71,0.00,0.00,2.65,1.41,0.00,0.00,0.00,0.00,0.00,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.35,0.00,0.00,0.00,0.00,0.53,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10/i,15.00,8.75,5.00,2.50,1.25,1.25,1.25,10.00,2.50,0.00,0.00,0.00,1.25,2.50,1.25,3.75,1.25,0.00,1.25,0.00,0.00,1.25,0.00,0.00,0.00,0.00,8.75,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,1.25,0.00,3.75,1.25,0.00,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,1.25,7.50,0.00,1.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.25,0.00,0.00,0.00,0.00,0.00,1.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.75,0.00,1.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9/iii,0.82,1.47,2.29,3.92,0.82,0.33,3.76,6.37,2.29,0.33,2.61,0.00,0.16,0.33,1.47,0.16,0.16,0.33,0.65,0.49,0.16,0.16,3.59,0.00,0.65,0.65,1.47,0.33,0.00,0.00,1.14,1.80,0.16,0.00,0.00,0.49,0.65,0.16,0.65,1.63,0.00,0.65,0.00,0.98,0.16,0.49,0.16,0.16,0.00,4.08,0.82,0.33,0.49,0.65,0.98,0.00,0.00,0.00,0.16,0.65,0.00,0.82,0.00,1.47,0.00,0.00,0.00,1.31,0.00,0.00,0.00,0.16,0.16,0.98,0.98,0.00,0.00,0.00,0.16,0.65,1.31,0.00,0.00,1.63,0.16,0.16,0.16,2.29,0.00,0.16,2.45,0.00,0.00,0.00,0.00,0.00,0.49,0.33,0.00,3.10,0.00,0.49,0.00,0.00,0.00,0.16,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.14,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.33,0.00,0.16,0.00,0.00,0.00,0.98,0.00,0.49,0.00,0.16,0.00,0.16,0.00,0.16,6.21,0.00,0.00,0.00,0.49,1.31,0.00,0.16,2.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.82,4.25,0.00,0.00,1.31,0.33,0.00,0.00,0.00,0.16,0.65,0.00,0.00,0.49,0.00,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,3.76,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9/iv,0.00,6.59,15.38,15.38,4.40,0.00,1.10,0.00,0.00,0.00,0.00,13.19,0.00,1.10,4.40,0.00,1.10,1.10,0.00,0.00,1.10,9.89,1.10,3.30,3.30,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.10,0.00,0.00,1.10,0.00,0.00,0.00,1.10,2.20,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9/v,0.00,50.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9/vi,3.61,3.61,5.22,2.81,2.41,2.41,3.61,3.21,0.80,2.01,5.22,0.00,0.40,0.40,1.20,2.01,1.61,0.00,0.40,0.40,0.00,2.01,2.01,2.81,1.20,0.00,1.20,0.00,0.40,0.00,3.61,2.41,0.00,1.20,2.01,0.40,1.61,0.00,0.00,1.61,0.40,0.00,0.00,0.40,0.40,0.00,0.00,0.40,0.00,1.61,1.61,4.02,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.80,2.01,0.40,4.42,1.61,0.80,0.00,0.40,0.00,0.00,0.40,0.00,1.20,0.80,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.40,0.80,0.00,0.00,1.20,0.00,0.40,0.00,0.00,0.00,0.00,1.20,0.00,2.41,0.40,0.00,0.00,0.00,0.00,0.40,0.00,0.00,1.61,0.00,0.00,0.80,0.00,0.40,0.00,0.40,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
